cod;original;simplified
8246;Insuficiencia renal En caso de insuficiencia renal (aclaramiento de creatinina < 80 ml/min) es necesario ajustar la dosis inicial de enalapril en funciÃ³n del aclaramiento de creatinina del paciente (vÃ©ase 4.2 PosologÃ­a y forma de administraciÃ³n) y posteriormente en funciÃ³n de la respuesta del paciente al tratamiento.;Insuficiencia renal En caso de insuficiencia renal         (aclaramiento de creatinina < 80 ml/min) es necesario ajustar la dosis inicial de enalapril en funciÃ³n del aclaramiento de creatinina del paciente (vÃ©ase 4.2 PosologÃ­a y forma de administraciÃ³n) y posteriormente en funciÃ³n de la respuesta del paciente al tratamiento.
5252;"A lo largo de Silver economy, publicado por LID Editorial, Juan Carlos Alcaide aporta ideas de emprendimien¬to focalizadas en un segmento de crecimiento que precisa y precisará productos y servicios silverizados; todo ello, dirigido a un público emprendedor, empresario o a empresas y profesionales que desean reorientar su rumbo buscando nuevos targets.";"A lo largo de Silver economy, publicado por LID Editorial, Juan Carlos Alcaide aporta ideas de emprendimien¬to focalizadas en un segmento de crecimiento que precisa y precisará productos y servicios silverizados; todo ello, dirigido a un público  decidido, empresario o a empresas y profesionales que desean reorientar su rumbo buscando nuevos targets."
851;La soledad tiene un impacto en todas las etapas vitales, pero se agudiza exponencialmente durante la vejez, en la cual se da el proceso de pérdidas asociadas al mismo ciclo de la vida;La soledad tiene un impacto en todas las etapas vitales, pero se  empeora exponencialmente durante la vejez, en la cual se da el proceso de pérdidas asociadas al mismo ciclo de la vida
4630;No llevamos ni cien metros andando y José Carlos Sires me advierte: “ahí viene una pareja de abubillas en cortejo”;No llevamos ni cien metros andando y José Carlos Sires me avisa: “ahí viene una pareja de abubillas en cortejo”
6109;Tania Estapé, profesora de los Estudios de Psicología y Ciencias de la Educación de la Universitat Oberta de Catalunya (UOC) y psicooncóloga de la Fundación para la Educación Pública y la Formación en Cáncer (FEFOC), da algunos consejos para afrontar el diagnóstico de la enfermedad:;Tania Estapé, profesora de los Estudios de Psicología y Ciencias de la Educación de la Universitat Oberta de Catalunya (UOC) y psicooncóloga de la Fundación para la Educación Pública y la Formación en Cáncer (FEFOC), da algunos consejos para soportar el diagnóstico de la enfermedad:
2917;"Las líneas estratégicas plasmadas en el documento pasan por reforzar el compromiso del Ministerio con el liderazgo de la Atención Primaria; consolidar una política presupuestaria y de recursos humanos que garantice la efectividad y la calidad de la APS; y mejorar la calidad de la atención y la coordinación con el resto de los ámbitos asistenciales, servicios e instituciones.";"Las líneas estratégicas plasmadas en el documento pasan por reforzar el compromiso del Ministerio con el liderazgo de la Atención Primaria; consolidar una política presupuestaria y de trabajadores que garantice la efectividad y la calidad de la APS; y mejorar la calidad de la atención y la coordinación con el resto de los ámbitos asistenciales, servicios e instituciones."
2244;Mediante esta herramienta, las personas con discapacidad intelectual estimulan la memoria, la atención, el lenguaje y las funciones ejecutivas de manera intensiva y personalizada;Mediante esta herramienta, las personas con discapacidad intelectual  activan la memoria, la atención, el lenguaje y las funciones ejecutivas de manera intensiva y personalizada
7809;Frente a los retos que nos plantea esta crisis, hemos visto florecer muchas iniciativas solidarias y de ayuda mutua entre generaciones, que surgen como respuesta para no dejar a nadie atrás, en unas semanas donde el confinamiento en nuestros hogares agrava si cabe más, las situaciones de vulnerabilidad, aislamiento y soledad de muchas personas mayores y/o en situación de dependencia, que viven solas.;Frente a los retos que nos plantea esta crisis, hemos visto  nacer muchas iniciativas solidarias y de ayuda mutua entre generaciones, que surgen como respuesta para no dejar a nadie atrás, en unas semanas donde el confinamiento en nuestros hogares agrava si cabe más, las situaciones de vulnerabilidad, aislamiento y soledad de muchas personas mayores y/o en situación de dependencia, que viven solas.
6002;La cefalea en racimos es una enfermedad muy dinámica, en la que los pacientes alternan periodos sintomáticos y asintomáticos;La dolor de cabeza en racimos es una enfermedad muy dinámica, en la que los pacientes alternan periodos sintomáticos y asintomáticos
2883;En el mundo, hay más de 7 millones de personas con Parkinson y se calcula que en el 2040, habrá 12 millones de personas diagnosticadas si se mantiene la tendencia actual;En el mundo, hay más de 7 millones de personas con Parkinson y se calcula que en el 2040, habrá 12 millones de personas diagnosticadas si se mantiene la  curso actual
1574;“A pesar de la complejidad de este servicio, al trabajar con 29 aplicaciones diferentes, las incidencias reportadas son mínimas y se sitúan en un porcentaje inferior al 1% del total de actos de dispensación”, ha indicado Carcedo;“A pesar de la complejidad de este servicio, al trabajar con 29 aplicaciones diferentes, las problemas reportadas son mínimas y se sitúan en un porcentaje inferior al 1% del total de actos de dispensación”, ha indicado Carcedo
925;“Otros creen que lo que les pasa a ellos también les ocurre a los demás y ni siquiera son conscientes de estar siendo agredidos”, ha añadido;“Otros creen que lo que les pasa a ellos también les ocurre a los demás y ni siquiera son se dan cuenta de estar siendo agredidos”, ha añadido
7385;Estas mascarillas posibilitarán algo imprescindible, que las personas mayores que más han sufrido el confinamiento durante los últimos meses puedan volver a relacionarse y fortalecer los vínculos de confianza que les aportaban las personas voluntarias que las acompañan todo el año, así como familiares, vecinos y amigos con los que hasta ahora sólo podían contactar de forma telemática.;Estas mascarillas posibilitarán algo imprescindible, que las personas mayores que más han sufrido el confinamiento durante los últimos meses puedan volver a relacionarse y fortalecer los relaciones de confianza que les aportaban las personas voluntarias que las acompañan todo el año, así como familiares, vecinos y amigos con los que hasta ahora sólo podían contactar de forma telemática.
3304;Este programa se ha llevado a cabo con carácter ininterrumpido desde 1985 y proporciona a las personas mayores (pensionistas del Sistema de Seguridad Social y otras personas beneficiarias) la posibilidad de disfrutar de vacaciones, a precio reducido, durante la temporada baja turística, esto es, entre octubre y junio, con los siguientes objetivos:;Este programa se ha llevado a cabo con carácter continuada desde 1985 y proporciona a las personas mayores (pensionistas del Sistema de Seguridad Social y otras personas beneficiarias) la posibilidad de disfrutar de vacaciones, a precio reducido, durante la temporada baja turística, esto es, entre octubre y junio, con los siguientes objetivos:
3631;Conmemoración del V centenario de la muerte del Bosco;Conmemoración del V centenario de la muerte del Bosco
1977;El Real Decreto Ley, además, desliga la cobertura sanitaria del concepto de asegurado (cotizante) y la asocia a la condición de ciudadanía española o residencia en España, además de salvaguardar la atención a los colectivos excluidos de atención en 2012.;El Real Decreto Ley, además, desliga la aval sanitaria del concepto de asegurado (cotizante) y la asocia a la condición de ciudadanía española o residencia en España, además de salvaguardar la atención a los colectivos excluidos de atención en 2012.
3837;Cercano a la Plaza de Santa Ana se encuentra el conocido como Callejón del Gato, dedicado al poeta madrileño Álvarez del Gato, donde Valle-Inclán encontró los espejos convexos y cóncavos deformantes que utilizó en su obra «Luces de Bohemia» para definir el esperpento, la visión deformada de la tragedia de España, vista por los ojos de un Max Estrella, personaje central de su obra;Cercano a la Plaza de Santa Ana se encuentra el conocido como Callejón del Gato, dedicado al poeta madrileño Álvarez del Gato, donde Valle-Inclán encontró los espejos convexos y  hundido deformantes que utilizó en su obra «Luces de Bohemia» para definir el esperpento, la visión deformada de la tragedia de España, vista por los ojos de un Max Estrella, personaje central de su obra
3499;En un mundo cada vez más digital, el acceso a las nuevas tecnologías es todavía una barrera muy importante que la sociedad no ha solventado para algunos colectivos sociales;En un mundo cada vez más digital, el acceso a las nuevas tecnologías es todavía una barrera muy importante que la sociedad no ha  resuelto para algunos colectivos sociales
5443;El umbral de la eternidad;El origen de la eternidad
283;Trabajar con datos, obtenerlos de las fuentes, depurarlos y procesarlos para convertirlos en indicadores con un significado útil es, precisamente, lo que hace día a día el Sistema de Información Sanitaria del SNS.;Trabajar con datos, obtenerlos de las fuentes, depurarlos y procesarlos para convertirlos en signos con un significado útil es, precisamente, lo que hace día a día el Sistema de Información Sanitaria del SNS.
7163;"Esta decisión, en todo caso, podría poner en cuestión la utilidad de los acuerdos que allí se adopten para encontrar soluciones para la población, en general; y para las personas mayores y en situación de dependencia, en concreto.";"Esta decisión, en todo caso, podría poner en cuestión la utilidad de los acuerdos que allí se tomen para encontrar soluciones para la población, en general; y para las personas mayores y en situación de dependencia, en concreto."
5302;Si bien, el manual toma como referencia obligada el marco jurídico regulador vigente en materia de accesibilidad en España, no se ciñe a él, sino que procura atender a criterios y especificaciones razonables;Si bien, el manual toma como referencia obligada el marco jurídico regulador válido en materia de accesibilidad en España, no se ciñe a él, sino que procura atender a criterios y especificaciones razonables
8375;Frecuentes: Nistagmo, temblor, ataxia, somnolencia, insomnio.;Frecuentes: Nistagmo, temblor, descoordinaciÃ³n muscular, somnolencia, insomnio.
2617;Mercé Luz, jefe del departamento de Cultura y Ocio de la Fundación ONCE destacó en relación a las patologías oculares en el arte que había que tener en cuenta la formación y el empleo en las artes plásticas y la accesibilidad universal;Mercé Luz, jefe del departamento de Cultura y Ocio de la Fundación ONCE destacó en relación a las patologías oculares en el arte que había que tener en cuenta la formación y el empleo en las  arquitectura y la accesibilidad universal
1868;Tiene encomendada, entre otras funciones, promover la aplicación de los derechos humanos, los ideales humanísticos, los conocimientos científicos y los desarrollos técnicos a las acciones sobre discapacidad;Tiene encomendada, entre otras tareas, promover la aplicación de los derechos humanos, los ideales humanísticos, los conocimientos científicos y los desarrollos técnicos a las acciones sobre discapacidad
7369;“A raíz de los tiempos que nos está tocando vivir por el nuevo coronavirus, quiero resaltar la especial vulnerabilidad a la que se enfrentan los pacientes con Alzhéimer, colectivo al que hay que dar la máxima acogida asistencial, ya que son muchas las necesidades que surgen día a día en ellos y en sus cuidadores;“A raíz de los tiempos que nos está tocando vivir por el nuevo coronavirus, quiero remarcar la especial vulnerabilidad a la que se enfrentan los pacientes con Alzhéimer, colectivo al que hay que dar la máxima acogida asistencial, ya que son muchas las necesidades que surgen día a día en ellos y en sus cuidadores
1492;Molina señaló que hay varias vertientes en el cambio demográfico: la concentración de la población en el territorio, un territorio exclusivamente despoblado, atender el fenómeno de la sobrepoblación temporal, la cada vez población más longeva, un territorio cada vez más masculinizado, la dificultad de alcanzar la fecundidad y la importancia de las migraciones.;Molina señaló que hay varias  dimensiones en el cambio demográfico: la concentración de la población en el territorio, un territorio exclusivamente despoblado, atender el fenómeno de la sobrepoblación temporal, la cada vez población más longeva, un territorio cada vez más masculinizado, la dificultad de alcanzar la fecundidad y la importancia de las migraciones.
5287;Su éxito ha sido tal que ha consolidado a su autor como un prestigioso referente terapéutico que está creando escuela entre las nuevas generaciones de psicólogos españoles e iberoamericanos.;Su éxito ha sido tal que ha consolidado a su autor como un reconocido referente terapéutico que está creando escuela entre las nuevas generaciones de psicólogos españoles e iberoamericanos.
3237;Las causas son muy diversas aunque en la mayoría de los casos se debe a problemas de capacidad y fabricación de los laboratorios, y rotura de stock por incrementos no previstos en las ventas;Las causas son muy diversas aunque en la mayoría de los casos se debe a problemas de capacidad y fabricación de los laboratorios, y rotura de stock por incrementos no  planeados en las ventas
8194;1 Datos de ensayos clÃ­nicos fase 3 controlados frente a placebo como comparador, insulina glargina o una mezcla con un 30 % de insulina aspÃ¡rtica soluble y un 70 % de cristales de insulina aspÃ¡rtica protamina (insulina aspÃ¡rtica bifÃ¡sica) en los cuales los pacientes tambiÃ©n recibieron metformina, tiazolidinadionas o sulfonilurea ademÃ¡s de BYETTA o el comparador.;1 Datos de ensayos clÃ­nicos fase 3 controlados frente a placebo como comparador, insulina glargina o una mezcla con un 30 % de insulina aspÃ¡rtica soluble y un 70 % de cristaenfermedad del sistema inmune de insulina aspÃ¡rtica protamina (insulina aspÃ¡rtica bifÃ¡sica) en los cuaenfermedad del sistema inmune los pacientes tambiÃ©n recibieron metformina, tiazolidinadionas o sulfonilurea ademÃ¡s de BYETTA o el comparador.
3093;También ha asegurado que hay que poner el foco en políticas transversales de promoción de la autonomía”;También ha asegurado que hay que poner el foco en políticas transversales de mejora de la autonomía”
5150;Pero sobre todo y muy especialmente, cuando se está informando en situaciones en las que la gente muere, vive o sobrevive, muchas veces en función de cómo se trasmita aquello por lo que es noticia;Pero sobre todo y muy especialmente, cuando se está informando en situaciones en las que la gente muere, vive o sobrevive, muchas veces en función de cómo se cuente aquello por lo que es noticia
6466;"Además, hace énfasis en que ""el mensaje que nos deja este estudio es que el consumo de una dieta saludable, incluyendo ciertos alimentos como las nueces y otros alimentos completos, pueden ayudar a las personas mayores a mantener la capacidad de realizar las tareas básicas cotidianas a medida que envejecen; como por ejemplo, cargar las compras o vestirse ellos mismos"".";"Además, hace énfasis en que ""el mensaje que nos deja este estudio es que el consumo de una dieta saludable, incluyendo ciertos alimentos como las nueces y otros alimentos completos, pueden ayudar a las personas mayores a mantener la capacidad de realizar las tareas básicas habituales a medida que envejecen; como por ejemplo, cargar las compras o vestirse ellos mismos""."
3856;El concierto finaliza con la interpretación de varios bises fuera programa antes de interpretar el vals El Danubio Azul, antes los músicos desean colectivamente un feliz año, de Johann Strauss hijo, seguido de la Marcha Radetzky, obra de Johann Strauss padre;El concierto finaliza con la interpretación de varios bises fuera programa antes de interpretar el vals El Danubio Azul, antes los músicos desean conjuntamente un feliz año, de Johann Strauss hijo, seguido de la Marcha Radetzky, obra de Johann Strauss padre
373;"Desde los recogidos por encuestas de salud de la población, que obtienen periódicamente información en cerca de 30.000 hogares; las altas hospitalarias o el seguimiento en la Atención Primaria de una cohorte de 4,7 millones de personas";"Desde los recogidos por encuestas de salud de la población, que obtienen periódicamente información en cerca de 30.000 hogares; las altas hospitalarias o el seguimiento en la Atención Primaria de una  número de 4,7 millones de personas"
3362;El primero de ellos, de carácter institucional, tendrá lugar en el Congreso de los Diputados, con el objetivo de llamar la atención de los representantes políticos y trasladarles las principales reivindicaciones del colectivo;El primero de ellos, de carácter institucional, tendrá lugar en el Congreso de los Diputados, con el objetivo de llamar la atención de los representantes políticos y trasladarles las principales  demandas del colectivo
3869;La figura de Cleopatra Filopátor Nea Thea, Cleopatra VII o, simplemente, Cleopatra es el eje central de la exposición «Cleopatra y la fascinación por Egipto» que hasta el 8 de mayo de 2016 puede verse en el Centro de Exposiciones Arte Canal, (Paseo de la Castellana, 214), de Madrid.;La figura de Cleopatra Filopátor Nea Thea, Cleopatra VII o, simplemente, Cleopatra es el eje central de la exposición «Cleopatra y la atracción por Egipto» que hasta el 8 de mayo de 2016 puede verse en el Centro de Exposiciones Arte Canal, (Paseo de la Castellana, 214), de Madrid.
3941;En la sede del Colegio de Arquitectos de Madrid, (Hortaleza, 63) podrán verse hasta el 12 de octubre las 180 fotografías seleccionadas en la última edición del concurso, entre ellas la fotografía obra del ganador, el danés Mads Nissen, un retrato íntimo de una pareja gay en Rusia, o la del italiano afincado en España Gianfranco Tripodo en la que se refleja la imagen de un inmigrante que se oculta bajo un coche frente a un policía en la valla de Melilla.;En la sede del Colegio de Arquitectos de Madrid, (Hortaleza, 63) podrán verse hasta el 12 de octubre las 180 fotografías seleccionadas en la última edición del concurso, entre ellas la fotografía obra del ganador, el danés Mads Nissen, un retrato íntimo de una pareja homosexual en Rusia, o la del italiano afincado en España Gianfranco Tripodo en la que se refleja la imagen de un inmigrante que se oculta bajo un coche frente a un policía en la valla de Melilla.
6866;Es la contribución de la campaña Menús con Corazón a la prevención de enfermedades cardiovasculares, la primera causa de muerte en nuestro país.;Es la aportación de la campaña Menús con Corazón a la prevención de enfermedades cardiovasculares, la primera causa de muerte en nuestro país.
1361;“No es un capricho, se trata de una necesidad que protege nuestra salud, la de nuestra familia, amigos y compañeros y la de la sociedad en su conjunto”, ha subrayado Carcedo;“No es un antojo, se trata de una necesidad que protege nuestra salud, la de nuestra familia, amigos y compañeros y la de la sociedad en su conjunto”, ha subrayado Carcedo
6986;En definitiva, una ciudad amigable con las personas de mayor edad deberá incluir estos parámetros:;En definitiva, una ciudad amigable con las personas de mayor edad deberá incluir estos indicadores:
4094;Van Gogh ha pasado ha pasado de ser un artista desconocido en vida, sólo logro vender un cuadro, “Viñedo rojo”, a ser uno de los creadores más importantes y admirados de los todos los tiempos, no en vano el Museo Van Gogh de Ámsterdam recibe cada año un millón y medio de visitantes ávido de contemplar el extensa legado del creador holandés que se exhiben en sus salas;Van Gogh ha pasado ha pasado de ser un artista desconocido en vida, sólo logro vender un cuadro, “Viñedo rojo”, a ser uno de los creadores más importantes y admirados de los todos los tiempos, no en vano el Museo Van Gogh de Ámsterdam recibe cada año un millón y medio de visitantes ansiosos de contemplar el extensa legado del creador holandés que se exhiben en sus salas
2093;Para contemplar la experiencia de usuario en el estudio, se ha contado con la participación final de quince usuarios con diferentes perfiles (personas ciegas, con baja visión, con limitación auditiva, con limitación física, con discapacidad intelectual, mayores y sin discapacidad).;Para contemplar la experiencia de usuario en el estudio, se ha contado con la participación final de quince usuarios con diferentes características (personas ciegas, con baja visión, con limitación auditiva, con limitación física, con discapacidad intelectual, mayores y sin discapacidad).
5119;Es ella misma quien cuenta que se hizo periodista sin preaviso;Es ella misma quien cuenta que se hizo periodista sin aviso
4417;Sinceramente, era el momento de que alguien como él llegase a la iglesia con ideas renovadas;Sinceramente, era el momento de que alguien como él llegase a la iglesia con ideas nuevas
